Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Boswellia serrata Roxb.,,,1082,Sallaki,शल्लकी,śallakī
Boswellia serrata Roxb.,Accepted source,Identified with it,1082,Sallaki,शल्लकी,śallakī
Boswellia serrata Roxb.,,,1082,Sallaki,शल्लकी,śallakī
Boswellia serrata Roxb.,Accepted source,Identified with it,1082,Sallaki,शल्लकी,śallakī
Boswellia serrata Roxb. Var. glabra,,,1083,Sallaki - bheda,शल्लकी भेद,śallakī bheda
Boswellia serrata Roxb. Var. glabra,,,1083,Sallaki - bheda,शल्लकी भेद,śallakī bheda
Salmalia malabarica Schott & Endl.,,,1084,Salmali,शाल्मली,śālmalī
Salmalia malabarica Schott and Endl.,Accepted source,Identified with it,1084,Salmali,शाल्मली,śālmalī
Eriodendron anfructuosum DC.,,,1085,Salmali - jati,शाल्मली जाति,śālmalī jāti
Eriodendron anfructuosum DC.,,,1085,Salmali - jati,शाल्मली जाति,śālmalī jāti
Salmalia insignis (Wall.) Schott. & Endl.,,,1086,Salmali - prajati,शाल्मली प्रजाति,śālmalī prajāti
Salmalia insignis (Wall.) Schott. & Endl.,,,1086,Salmali - prajati,शाल्मली प्रजाति,śālmalī prajāti
Biophytum sensitivum (Linn.) DC.,Suggested source,"Different names given to this plant by different commentators are given to this species, hence it's suggested to be considered",1087,Samanga,समङ्गा,samaṅgā
Mimosa pudica Linn.,Most probable,This species is mostly correlated to Samanga,1087,Samanga,समङ्गा,samaṅgā
Neptunia oleracea Lour.,Suggested source,"Different names given to this plant by different commentators are given to this species, hence it's suggested to be considered",1087,Samanga,समङ्गा,samaṅgā
Loranthus sp.,Most probable,Samharsha has been cited in Caraka samhita under the madhura skanda; Cakrapani has interpreted it as 'Bandaka'; In Dhanvantari nighantu it has been mentioned as a synonym of 'Jantukari'; With regard to its synonyms it can be depicted to be 'Bandaka' and its fruits resemble 'Kapikacchu' hence Cakrapani has inferred it as Bandaka; But when compared with the properties of Jantukari and Samharsa there is a lot of difference; Bandaka is identified with this species,1088,Samharsa,संहर्ष,saṃharṣa
Mucuna sp.,Accepted source,Samharsha' has been cited in Caraka samhita under the madhura skanda; Cakrapani has interpreted it as 'Bandaka'; In Dhanvantari nighantu it has been mentioned as a synonym of 'Jantukari'; With regard to its synonyms it can be depicted to be 'Bandaka' and its fruits resemble 'Kapikacchu' hence Cakrapani has inferred it as 'Bandaka'; But when compared with the properties of 'Jantukari' and 'Samharsa' there is a lot of difference; It can be considered as Bandaka or a type of 'Kapikacchu' which is identified with this species,1088,Samharsa,संहर्ष,saṃharṣa
Prosopis cineraria Druce.,,,1089,Sami,शमी,śamī
Prosopis cineraria Druce.,,,1089,Sami,शमी,śamī
Prosopis spicigera Linn.,Accepted source,Identified with it,1089,Sami,शमी,śamī
Prosopis stephaniana Kunth.,,,1090,Sami - prajati,शमी प्रजाति,śamī prajāti
Lodoicea maldivica (Poir.) Pers.,,,1091,Samudranarikela,समुद्रनारिकेल,samudranārikela
Prosopis stephaniana Kunth.,Accepted source,Samudrasami' has been cited in Sodala nighantu and Raja nighantu; It is identified with this species,1092,Samudrasami,समुद्रशमी,samudraśamī
Salvia ptebeia,?,?,1093,Samudrasosa,समुद्रशोष,samudraśoṣa
Crotalaria juncea Linn.,,,1094,Sana,शण,śaṇa
Crotalaria juncea Linn.,Accepted source,Identified with it,1094,Sana,शण,śaṇa
Crotalaria sp.,Most probable,Krsnasana cannot be correlated to a specific species of Crotolaria as it has a large number of species,1094,Sana,शण,śaṇa
Crotalaria verrucosa Linn.,,,1095,Sanapuspi,शणपुष्पी,śaṇapuṣpī
Indigofera pulchella Roxb.,Most probable,With regard to its popular name Jirahula this species may be taken into consideration,1095,Sanapuspi,शणपुष्पी,śaṇapuṣpī
Dioscorea sp.,Most probable,May be identified with this species,1096,Sankhaluka,शङ्कालुक,śaṅkāluka
Pogonia flabelliformis Lindl.,Most probable,May be identified with this species,1096,Sankhaluka,शङ्कालुक,śaṅkāluka
Canscora decussata Schult,Controversial,"Among the Brhatrayi, Sankhapuspi was widely used as medhya (promotes memory); In Dhanvantari and Bhavaprakasa nighantu it is explained seperately; Raja nighantu and Kaideva nighantu have mentioned 3 types of Sankhapuspi based on the colour of flowers; Due to these reasons it ran into controversy; Many species are correlated to Sankhapuspi and this is one among them; Its widely used in Bengal",1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Canscora decussata Schult.,Accepted source,Is a controversial drug; Canscora decussata has been accepted as Sankhapuspi by the Bengali Kavirajas,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Canscora diffusa R. Br.,Controversial,With regard to its morphology many plants are correlated to Sankhapuspi and among them this is one of the suggested species,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Clitorea ternatea Linn.,Controversial,Due to various reasons Sankhapuspi turned out to be a controversial drug; Many species are widely used around the country as Sankhapuspi and this is one among them,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Clitoria ternatea Linn.,Accepted source,Is a controversial drug; Clitorea ternatea has been accepted as Sankhapuspi by the South Indian Vaidyas,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Clitoria ternatea Linn.,Controversial,With regard to its morphology many plants are correlated to Sankhapuspi and among them this is one of the suggested species,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus pluricaulis Chois,Controversial,Different species are being used as Sankhapuspi in different parts of India; Convolvulus pluricaulis is used as Sankhapuspi in Gujarat,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus pluricaulis Chois,Most probable,With regard to its feature of conch shaped flowers many plants are correlated to Sankhapuspi and this is one of the species; This is used extensively in Gujarat,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus pluricaulis Chois.,,,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus pluricaulis Chois.,Accepted source,Identified with it,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus pluricaulis Chois.,Controversial,Many species are being used as Sankhapuspi in different parts of the country; This species is used as Sankhapuspi in Southern India and is considered as the most probable with regard to its features and properties,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convolvulus sp.,Accepted source,Identified with it,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Convovulus pluricaulis Chois.,Controversial,With regard to its feature of conch shaped flowers many plants are correlated to Sankhapuspi and this is one of the species; This is used extensively in Gujarat,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Evolvulous alsinoides Linn.,Controversial,Many plants are being used as Sankhapuspi all over the country; This species is one among them,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Evolvulus alsinioides Linn.,Controversial,"Among the Brhatrayi, Sankhapuspi was widely used as medhya (promotes memory); In Dhanvantari and Bhavaprakasa nighantu it is explained seperately; Raja nighantu and Kaideva nighantu have mentioned 3 types of Sankhapuspi based on the colour of flowers; Due to these reasons it ran into controversy; Many species are correlated to Sankhapuspi and this is one among them",1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Lavendula bipinnata,Controversial,Different species are being used as Sankhapuspi in different parts of India; This species is one among them,1097,Sankhapuspi,शङ्खपुष्पी,śaṅkhapuṣpī
Andrographis sp.,Not Identified,As this species does have properties of the Sankhini mentioned in the texts it cannot be considered,1098,Sankhini,शङ्खिनी,śaṅkhinī
Calonyction muricatum G. Don,?,?,1098,Sankhini,शङ्खिनी,śaṅkhinī
Clitoria ternatea Linn.,Most probable,South Indian Vaidyas accept Clitorea ternatea as Sankhapuspi so Sankhini might be correlated to this species,1098,Sankhini,शङ्खिनी,śaṅkhinī
Euphorbia dracunculoides Lam.,Controversial,?,1098,Sankhini,शङ्खिनी,śaṅkhinī
Salacia chinensis Linn.,,,1099,Saptacakra,सप्तचक्रा,saptacakrā
Acacia concinna D. C.,Most probable,Even though it is a highly controversial drug many of them have identified it with this species,1100,Saptala,सप्तला,saptalā
Acacia concinna DC.,Substituted source,This species might have been used as its substitute,1100,Saptala,सप्तला,saptalā
Acacia concinna DC.,Suggested source,On basis of common synonyms given to 'Shikakai' as well as to 'Saptala' this species is taken into consideration,1100,Saptala,सप्तला,saptalā
Euphorbia dracunculoides,Most probable,Saptala is a highly controversial drug; There are many species correlated to it but with regard to its description this species tentatively comes very near to the description,1100,Saptala,सप्तला,saptalā
Euphorbia dracunculoides Lam.,Controversial,?,1100,Saptala,सप्तला,saptalā
Euphorbia dracunculoides Lam.,Most probable,This species can be taken into consideration with regard to its features and properties,1100,Saptala,सप्तला,saptalā
Euphorbia pilosa Linn.,Controversial,Many drugs are correlated to Saptala; On basis of its name and actions this species is taken into consideration,1100,Saptala,सप्तला,saptalā
Euphorbia pilosa Linn.,Most probable,This species can be considered with regard to its properties and its use by Garhwalis for their purgative action,1100,Saptala,सप्तला,saptalā
Euphorbia royleana Boiss.,Controversial,Many drugs are correlated to Saptala; On basis of its name this species is taken into consideration,1100,Saptala,सप्तला,saptalā
Euphorbia tirucalli Linn.,Most probable,Taken into consideration with regard to its characteristic features,1100,Saptala,सप्तला,saptalā
Alstonia scholaris R. Br.,,,1101,Saptaparna,सप्तपर्ण,saptaparṇa
Alstonia scholaris R. Br.,Accepted source,Identified with it,1101,Saptaparna,सप्तपर्ण,saptaparṇa
Pinus roxburghii Sargent.,,,1102,Sarala,सरल,sarala
Pinus roxburghii Sargent.,Accepted source,Identified with it,1102,Sarala,सरल,sarala
Tephrosia purpurea (Linn.) Pers.,Accepted source,Identified with it,1103,Sarapunkha,शरपुङ्खा,śarapuṅkhā
Tephrosia purpurea Pers.,,,1103,Sarapunkha,शरपुङ्खा,śarapuṅkhā
Tephrosia candida DC.,,,1104,Sarapunkha - prajati,शरपुङ्खा प्रजाति,śarapuṅkhā prajāti
Tephrosia procumbens Buch-Ham,,,1104,Sarapunkha - prajati,शरपुङ्खा प्रजाति,śarapuṅkhā prajāti
Cryptolepis buchanana Roem & Schult.,,,1107,Sariva - prakara,सारिवा प्रकार,sārivā prakāra
Ichnocarpus frutescens R. Br.,,,1107,Sariva - prakara,सारिवा प्रकार,sārivā prakāra
Cryptolepis buchanana Roem & Schult.,,,1107,Sariva - prakara,सारिवा प्रकार,sārivā prakāra
Ichnocarpus frutescens R. Br.,,,1107,Sariva - prakara,सारिवा प्रकार,sārivā prakāra
Decalpis hamiltonii W. & A.,Substituted source,This species is used as a substitute in South India for Sveta Sariva,1105,Sariva,सारिवा,sārivā
Hamidesmus indicus,Accepted source,Sariva is correlated to this species,1105,Sariva,सारिवा,sārivā
